2025-03-28T18:02:56.606254 - 🌐 Server starting on ws://192.168.4.246:19131
2025-03-28T18:02:56.606335 - 🗃️  Events will be logged to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:08.733889 - [+] Connection from 192.168.4.242
2025-03-28T18:05:08.736325 - [192.168.4.242] ← Subscribed to PlayerJoin
2025-03-28T18:05:08.736450 - [192.168.4.242] ← Subscribed to PlayerLeave
2025-03-28T18:05:08.736575 - [192.168.4.242] ← Subscribed to PlayerMessage
2025-03-28T18:05:08.736676 - [192.168.4.242] ← Subscribed to PlayerTransform
2025-03-28T18:05:08.736771 - [192.168.4.242] ← Subscribed to BlockPlaced
2025-03-28T18:05:24.236238 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:37.004928 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:40.485428 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:40.581517 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:40.832318 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:41.152141 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:41.423323 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:41.542498 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:41.952375 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:42.111550 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:42.325947 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:42.604772 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:42.763755 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:42.948527 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:43.789423 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:44.097624 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:44.232652 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:44.601039 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:44.982460 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:45.211662 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:46.075090 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:46.453125 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:46.794348 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:47.466879 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:47.893688 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:48.213248 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:48.519554 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:48.611103 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:48.675829 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:48.951094 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:49.283703 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:49.565962 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:49.754970 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:50.002470 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:50.381627 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:50.780809 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:50.985222 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:51.223819 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:51.493622 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:51.630544 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:51.801731 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:52.147721 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:52.376320 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:52.783688 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:52.950262 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:53.260296 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:53.447802 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:53.821059 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:54.752750 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:54.982759 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:55.200262 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:55.333020 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:55.491392 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:55.692207 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:56.720024 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:56.953263 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:57.286094 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:57.634989 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:58.178289 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:58.326564 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:58.506058 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:58.602537 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:58.768144 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:58.848724 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:59.046850 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:59.051531 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:59.266601 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:59.274559 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:59.374913 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:59.417894 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:59.513536 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:59.589355 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:59.725139 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:59.835620 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:59.863758 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:05:59.981210 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:00.330463 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:00.339368 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:00.469250 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:00.505727 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:00.549982 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:00.726289 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:00.878407 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:00.941553 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:00.948101 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:01.073700 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:01.079992 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:01.232888 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:01.306235 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:01.350915 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:01.513949 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
